Processor_Speed_GHz,RAM_GB,Storage_GB,Screen_Size_Inches,Battery_Life_Hours,Weight_Kg,Price_$
2.8108904159657686,8,1024,13.740531715354479,7.671736066225963,1.654264209339765,3405.5887713451625
4.827500072434707,16,512,15.167603789513432,7.312636898667579,1.6174469976799997,4297.165085339464
4.061978796339918,4,512,16.491783343505634,3.2307785922579213,3.2656364513025915,3345.2817409780714
3.595304694689628,4,1024,15.928899545638245,6.071230448635407,1.6238654996237654,3554.095374060466
2.046065241548528,4,1024,16.2262445914458,6.421760569072713,1.6798743153215776,3101.586896575235
2.045980821176709,4,1024,15.63513346684287,6.589405028072104,2.8984956560449096,2992.8316829925875
1.703292642588698,32,2048,15.76910625807141,8.22155132304599,2.12434960612635,4915.052163164005
4.531616510212273,4,512,16.396782606261276,7.802422920541906,2.941776392387953,3733.5483205787946
3.6039025411012306,32,2048,13.998672035436744,8.471145835141002,1.163415393910963,5445.068701812223
3.9782540222861593,32,2048,14.957699854572562,9.883949353879155,2.218927984183461,5303.618903622669
1.5720457300353086,4,1024,13.884837767278409,10.316871648444842,1.0840340004582065,2996.1607393062927
4.89468448256698,4,1024,16.95067203198659,9.46310768603845,1.1566330086383863,4215.638824450249
4.413549242801476,8,256,16.776237358746453,11.599713263594412,3.2660936333610273,3828.5014819462235
2.2431868873739664,16,256,13.157707245474024,3.1640932440872547,1.348113427793988,2937.0330038244947
2.136387385224852,4,2048,15.822300690062754,4.762001871151915,2.3310517056880427,3633.4850461340075
2.1419157844870185,8,512,16.700993269662664,3.068065874803279,2.0277390065017666,3084.762393191701
2.5648478503583823,8,1024,13.722301380509334,8.827272427391428,1.8683583156471066,3236.069707689389
3.336647510712832,16,1024,15.271780922210517,11.082274940549881,3.2495833642181813,4161.689403558441
3.0118075652474054,32,2048,16.66195319035217,5.191340669186694,1.0545584919387236,5251.497617325842
2.5193019906931466,4,256,13.135783914343195,11.34331090316676,2.6594742154389728,2580.165897518092
3.641485131528328,16,512,15.78968106898736,3.5424065126060476,3.408486085533876,3636.0138801257854
1.9882285122821464,4,256,14.189396029490203,11.409924241249628,2.400420458654605,2766.0234505891954
2.5225062698732637,8,256,16.697584781506123,6.16460418515671,3.3420561550827297,3129.3042233023325
2.7822664515279207,8,256,16.884232980661473,3.9127874560429485,1.1306446982150593,3202.391038865218
3.0962449447596256,32,256,16.777065956453736,7.372845832676931,2.0469832976854034,4599.654326180867
